"namespace","namespace_clients","mounts_clients_sum","delta","mount_path","mount_type","clients","entity_clients","non_entity_clients","acme_clients","secret_syncs"
"root",74,83,9,"auth/okta_oidc/","oidc/",67,67,0,0,0
"root",74,83,9,"no mount accessor (pre-1.10 upgrade?)","deleted mount",14,14,0,0,0
"root",74,83,9,"auth/userpass/","userpass/",1,1,0,0,0
"root",74,83,9,"auth/jwt/","jwt/",1,1,0,0,0
